episode_id,source_group,source_path,stem,format,obs_shape,obs_dim,num_steps,action_min,action_max,layout,partner,seed,agent_index,role_swap,reward_sum,num_deliveries,first_delivery_t,last_delivery_t,stay_ratio,interact_ratio,has_npz,has_pkl,has_metadata_json,has_layout_file,quality_flags,quality_tier,usable_for_bc,usable_for_environment_rollout
asymmetric_advantages_20260524_162033_0,97,data\97\demostrations\asymmetric_advantages_20260524_162033.npz,asymmetric_advantages_20260524_162033,npz,"(250, 96)",96,250,0,5,asymmetric_advantages,unknown,67,1,False,20.0,1.0,186,186,0.48,0.096,True,True,True,False,long_repeat_69,B,True,True
asymmetric_advantages_20260524_162133_0,97,data\97\demostrations\asymmetric_advantages_20260524_162133.npz,asymmetric_advantages_20260524_162133,npz,"(250, 96)",96,250,0,5,asymmetric_advantages,unknown,67,1,False,40.0,2.0,170,181,0.252,0.124,True,True,True,False,ok,A,True,True
coordination_ring_20260524_160105_0,97,data\97\demostrations\coordination_ring_20260524_160105.npz,coordination_ring_20260524_160105,npz,"(250, 96)",96,250,0,5,coordination_ring,unknown,67,1,False,20.0,1.0,186,186,0.316,0.108,True,True,True,False,ok,B,True,True
coordination_ring_20260524_161512_0,97,data\97\demostrations\coordination_ring_20260524_161512.npz,coordination_ring_20260524_161512,npz,"(250, 96)",96,250,0,5,coordination_ring,unknown,67,1,False,60.0,3.0,186,234,0.38,0.08,True,True,True,False,ok,A,True,True
counter_circuit_20260524_161629_0,97,data\97\demostrations\counter_circuit_20260524_161629.npz,counter_circuit_20260524_161629,npz,"(250, 96)",96,250,0,5,counter_circuit,unknown,67,1,False,0.0,0.0,-1,-1,0.368,0.056,True,True,True,False,zero_reward,C,True,True
counter_circuit_20260524_161729_0,97,data\97\demostrations\counter_circuit_20260524_161729.npz,counter_circuit_20260524_161729,npz,"(250, 96)",96,250,0,5,counter_circuit,unknown,67,1,False,55.0,2.75,152,152,0.36,0.052,True,True,True,False,ok,A,True,True
cramped_room_20260524_151059_0,97,data\97\demostrations\cramped_room_20260524_151059.npz,cramped_room_20260524_151059,npz,"(250, 96)",96,250,4,4,cramped_room,unknown,67,1,False,0.0,0.0,-1,-1,1.0,0.0,True,True,True,False,high_stay|no_interact|zero_reward|long_repeat_250,D,False,True
cramped_room_20260524_151610_0,97,data\97\demostrations\cramped_room_20260524_151610.npz,cramped_room_20260524_151610,npz,"(250, 96)",96,250,4,4,cramped_room,unknown,67,1,False,20.0,1.0,40,40,1.0,0.0,True,True,True,False,high_stay|no_interact|long_repeat_250,B,True,True
forced_coordination_20260524_161831_0,97,data\97\demostrations\forced_coordination_20260524_161831.npz,forced_coordination_20260524_161831,npz,"(250, 96)",96,250,0,5,forced_coordination,unknown,67,1,False,0.0,0.0,-1,-1,0.516,0.092,True,True,True,False,zero_reward|long_repeat_53,C,True,True
forced_coordination_20260524_161931_0,97,data\97\demostrations\forced_coordination_20260524_161931.npz,forced_coordination_20260524_161931,npz,"(250, 96)",96,250,0,5,forced_coordination,unknown,67,1,False,0.0,0.0,-1,-1,0.36,0.088,True,True,True,False,zero_reward,C,True,True
large_room_20260524_162244_0,97,data\97\demostrations\large_room_20260524_162244.npz,large_room_20260524_162244,npz,"(250, 96)",96,250,0,5,large_room,unknown,67,1,False,0.0,0.0,-1,-1,0.376,0.092,True,True,True,False,zero_reward,C,True,True
large_room_20260524_162344_0,97,data\97\demostrations\large_room_20260524_162344.npz,large_room_20260524_162344,npz,"(250, 96)",96,250,0,5,large_room,unknown,67,1,False,20.0,1.0,51,51,0.504,0.052,True,True,True,False,ok,B,True,True
simple_o_20260524_162452_0,97,data\97\demostrations\simple_o_20260524_162452.npz,simple_o_20260524_162452,npz,"(250, 96)",96,250,0,5,simple_o,unknown,67,1,False,20.0,1.0,231,231,0.396,0.18,True,True,True,False,ok,B,True,True
